ade24d82-6824-4d84-b5e8-90c9e015dfc5;(ikke angitt);10 IR/ml; ;
28fd6bae-b0cc-4915-8b6e-d91650ba85f8;2,4-Diklorbenzylalkohol;1.2 mg; ;
4cf22ca7-3f4b-48c6-b095-4082436dda36;2,4-Diklorbenzylalkohol;1.2 mg; ;R02AA03
171ad71d-c88a-413d-a3fe-ed4149a5aaed;5-aminolevulinat;30 mg/ml; ;
4f9d4e94-e421-45dd-9b94-81ccc8913532;5-aminolevulinat;78 mg/g; ;
756ea33e-69ca-40bb-b1b9-db6cfbbffa31;5-aminolevulinat;8 mg; ;
108a4ea4-3373-4a1b-9f93-96bbcbe0f28b;Abakavir;20 mg/ml; ;
42ebe616-f6b7-40c7-89f9-6346aee62352;Abakavir;300 mg; ;J05AF06
dfcc31ec-1d84-4a98-bf2f-9aff0db7b326;Abakavir;300 mg; ;
3f12f081-a35d-4e7b-bd11-c3df97b96b5b;Abakavir;600 mg; ;J05AF06
d3210447-4664-4132-8f89-ea3201b0974c;Abakavir;600 mg; ;J05AF06
fa110efa-9e62-4f23-b0e8-326638a0a257;Abatacept;125 mg/sprøyte; ;
8d45a961-aa00-4b96-afe7-e2a623d1852f;Abatacept;250 mg; ;
f717eb8c-bc96-45e3-9ee1-688d07e0470b;Abciksimab;2 mg/ml; ;
cbf8fd62-8548-4ba2-b3a3-f92b6b96ba23;Abemaciklib;100 mg; ;
45ddc49f-d4a6-4503-8530-81142aa3a436;Abemaciklib;150 mg; ;
c6fd1099-e9bf-47bd-800c-728755ee40ca;Abemaciklib;50 mg; ;
42a48f6b-3eb8-4c18-b33a-304536ca32c7;Abirateron;500 mg; ;
ce3c0354-ff20-4a62-9af9-8542c65ebea9;Aceklofenak;100 mg; ;
5df28073-86df-4f37-87a4-fb4fe20873e9;Acetazolamid;250 mg; ;
62687526-b958-48b5-be52-49d7a13f6e32;Acetazolamid;250 mg; ;
85c2ba2f-3bb0-49b7-a331-86369fbe41aa;Acetazolamid;500 mg; ;
bb5bd84a-fefa-4641-8adb-f1779667e898;Acetylcystein;100 mg/ml; ;
ae1008f9-12f0-4d1c-9e29-b46850e8772c;Acetylcystein;200 mg; ;
9e4ac814-694c-449a-a553-a5587ed3d734;Acetylcystein;200 mg/ml; ;
ee32cdaf-6ae8-4a76-b2dd-46ee0ae38837;Acetylcystein;500 mg; ;
14b2f5d3-d974-42b0-9e84-3c781aa21c27;Acetylcystein;600 mg; ;
9d4c5a98-4b55-4c10-b907-77528dcbae57;Acetylcystein;600 mg; ;
289dbb75-843c-4b6e-bdb0-7ad09dbc35fd;Acetylcystein;750 mg; ;
5992c867-8ad7-450e-b6a2-df4ecb45e5a4;Acetylkolin;20 mg; ;
b98fb621-c648-42f2-8667-08877fdf462f;Acetylsalisylsyre;1 g; ;
789ca9b9-c765-4359-a78e-38503414e3aa;Acetylsalisylsyre;12.5 mg; ;
ab2f4532-b5cb-415b-b5e2-04e82402325b;Acetylsalisylsyre;125 mg; ;
70559114-1380-4e67-b886-0436ff15a3fa;Acetylsalisylsyre;150 mg; ;
78d794af-c300-4976-b82e-36ed55072151;Acetylsalisylsyre;160 mg; ;
1c8a0ab2-1cfc-465a-8cd2-1ae87391be00;Acetylsalisylsyre;25 mg; ;
5d908656-fbec-4574-bf1c-dd6704748c48;Acetylsalisylsyre;25 mg; ;B01AC06
9227b3df-9db9-41f5-ae76-0c7910c115a1;Acetylsalisylsyre;250 mg; ;N02BA01
b98b5a54-58eb-4876-b245-e4b1fd8881f4;Acetylsalisylsyre;250 mg; ;
b0f50d5c-cf45-4319-980c-1324ecf7a01d;Acetylsalisylsyre;300 mg; ;
1a488fc2-f6ad-4ab7-aa10-2aabc2a51a15;Acetylsalisylsyre;500 mg; ;
872b363d-5dce-4b2e-93b9-dc728ac1b3a4;Acetylsalisylsyre;500 mg; ;
98216abf-1133-448e-93bb-bd1d459a5545;Acetylsalisylsyre;500 mg; ;
c2dd5f66-559b-4917-aaeb-8b9f2b028b2c;Acetylsalisylsyre;500 mg; ;N02BA01
57e6505d-fcda-4e64-bd2b-3953ae992ff5;Acetylsalisylsyre;6.25 mg; ;
f1d3a0aa-3e4f-4edf-9133-a0f9a693ff33;Acetylsalisylsyre;60 mg; ;
1e6e62c3-45f3-467a-ae22-32c5a5d908f3;Acetylsalisylsyre;75 mg; ;
5a80f697-2b26-4c0c-a58a-dcdf99dfae74;Acetylsalisylsyre;75 mg; ;
65d9d14d-f0a3-45e1-b4d4-20a0ea1058f6;Acetylsalisylsyre;75 mg; ;
a8e23e64-7c4b-478e-a829-c2ecdf4a439c;Acetylsalisylsyre;75 mg; ;
ac7c0709-cb54-433f-b19e-2f935bb7ef4c;Acetylsalisylsyre;81 mg; ;
b0682bf0-3022-4b53-b906-bae9b352f320;Aciklovir;200 mg; ;
7164cb86-2f19-4409-8577-d2c4c42fb3a2;Aciklovir;25 mg/ml; ;
0d2188d4-1c74-4426-9d81-3c6083d994c6;Aciklovir;30 mg/g; ;
4df3b8ce-1e8f-4d35-81a6-70dcb44fe40a;Aciklovir;5 %;50 mg/g;
7dacd4ee-2acc-4f9a-bfb4-c0dfdadd97a1;Aciklovir;5 %;50 mg/g;
